[2026-04-13 20:52:00] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 20:52:02] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-13 20:52:03] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 20:52:04] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 20:52:04] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-13 20:52:05] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-13 20:52:05] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-13 20:52:06] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-13 20:54:53] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 20:54:56] KeyCaptured: 56 ('8') | Source: keyboard_linux
[2026-04-13 20:54:56] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-13 20:54:57] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 20:54:58] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 20:54:59] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-13 20:55:00] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 20:55:01] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-13 20:55:02] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:08:39] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:08:40] KeyCaptured: 56 ('8') | Source: keyboard_linux
[2026-04-13 21:08:41] KeyCaptured: 48 ('0') | Source: keyboard_linux
[2026-04-13 21:08:42] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-13 21:08:42] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:08:43] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:08:44] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-13 21:08:45] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:08:46] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-13 21:08:47] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:08:47] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-13 21:08:48] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:09:09] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-04-13 21:09:09] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-04-13 21:15:26] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:15:28] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-13 21:15:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:15:29] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:15:30] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-13 21:15:31] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-13 21:15:31] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-13 21:15:32] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-13 21:15:32] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 21:15:33] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-13 21:15:33] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-13 22:07:30] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 22:07:32] KeyCaptured: 56 ('8') | Source: keyboard_linux
[2026-04-13 22:07:32] KeyCaptured: 48 ('0') | Source: keyboard_linux
[2026-04-13 22:07:33] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-13 22:07:33] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 22:07:36] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-13 22:07:37] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-15 16:37:12] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:37:15] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-15 16:37:15] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:37:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:37:17] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-15 16:47:48] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:47:50] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:50] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:50] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:50] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:50] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:51] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:51] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:51] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:47:54] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 16:47:55] KeyCaptured: 1003 ('?') | Source: keyboard_linux
