[2026-03-31 19:23:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-31 19:23:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:17] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:21] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:22] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:40] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:51] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:32:59] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:04] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:04] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:06] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:06] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:14] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:14] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 13:33:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:04] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:04] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:05] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:05] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:06] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:14] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:14] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:18:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:38] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-01 14:27:49] FrameRendered: from current_frame.txt | Source: renderer
